type,value,comment
ip-dst,193.92.179.43,https://x.com/drb_ra/status/1900859370017108401
ip-dst,62.1.109.30,https://x.com/drb_ra/status/1900859385926090843
ip-dst,39.40.164.79,https://x.com/drb_ra/status/1900859402074178038
ip-dst,210.2.169.213,https://x.com/drb_ra/status/1900859418675126449
ip-dst,62.113.118.24,https://x.com/drb_ra/status/1900859433388802543
ip-dst,138.199.216.110,https://x.com/drb_ra/status/1900859463269032295
ip-dst,52.165.19.23,https://x.com/drb_ra/status/1900862868163055700
ip-dst,167.172.244.201,https://x.com/drb_ra/status/1900862911595123152
ip-dst,40.127.74.195,https://x.com/drb_ra/status/1900862978443936239
ip-dst,52.255.166.103,https://x.com/drb_ra/status/1900862999616745547
ip-dst,172.245.118.252,https://x.com/drb_ra/status/1900863522361217226
ip-dst,107.211.18.49,https://x.com/drb_ra/status/1900863550257602659
ip-dst,101.42.18.6,https://x.com/drb_ra/status/1900863597959344577
ip-dst,116.177.240.114,https://x.com/drb_ra/status/1900863621581725795
ip-dst,116.207.184.222,https://x.com/drb_ra/status/1900863646315520399
ip-dst,14.205.93.55,https://x.com/drb_ra/status/1900863670650867739
ip-dst,121.4.99.161,https://x.com/drb_ra/status/1900863670650867739
ip-dst,196.251.69.105,https://x.com/drb_ra/status/1900863695187562982
ip-dst,103.74.95.243,https://x.com/drb_ra/status/1900863719946530841
ip-dst,10.127.241.237,https://x.com/drb_ra/status/1900863719946530841
ip-dst,47.108.63.64,https://x.com/drb_ra/status/1900863767304355937
ip-dst,108.160.140.175,https://x.com/drb_ra/status/1900863790264025281
ip-dst,198.98.56.99,https://x.com/drb_ra/status/1900863817514398141
ip-dst,47.97.84.155,https://x.com/drb_ra/status/1900863840818024875
ip-dst,156.245.27.202,https://x.com/drb_ra/status/1900863864469688692
ip-dst,113.106.204.68,https://x.com/drb_ra/status/1900864054014472651
ip-dst,46.137.145.127,https://x.com/drb_ra/status/1900864077045403987
ip-dst,181.235.15.22,https://x.com/drb_ra/status/1900864099812052999
ip-dst,91.199.42.124,https://x.com/drb_ra/status/1900864119927869709
ip-dst,66.94.125.43,https://x.com/drb_ra/status/1900864162433048852
ip-dst,34.248.246.42,https://x.com/drb_ra/status/1900864185291952298
ip-dst,186.169.67.20,https://x.com/drb_ra/status/1900864206666149999
ip-dst,120.150.39.240,https://x.com/drb_ra/status/1900864226534551620
ip-dst,47.129.171.26,https://x.com/drb_ra/status/1900864247254466641
ip-dst,83.238.212.60,https://x.com/drb_ra/status/1900864266246266974
ip-dst,46.105.31.193,https://x.com/drb_ra/status/1900864282813759642
ip-dst,206.72.200.109,https://x.com/drb_ra/status/1900864300572443081
ip-dst,134.122.55.34,https://x.com/drb_ra/status/1900864318289100817
ip-dst,147.45.153.220,https://x.com/drb_ra/status/1900864335930409392
ip-dst,192.64.115.155,https://x.com/drb_ra/status/1900864354196586820
ip-dst,56.155.12.98,https://x.com/drb_ra/status/1900864372634767400
ip-dst,196.251.80.131,https://x.com/drb_ra/status/1900864392020873291
ip-dst,102.117.174.250,https://x.com/drb_ra/status/1900864411767558594
ip-dst,191.232.183.87,https://x.com/drb_ra/status/1900864431027831032
ip-dst,59.110.94.209,https://x.com/drb_ra/status/1900866607275979014
ip-dst,78.111.67.189,https://x.com/yvesago/status/1900866893361066024
ip-dst,45.89.230.157,https://x.com/banthisguy9349/status/1900885588686798885
